scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,36.8657,2026-04-18
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3319.9042,2026-04-18
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3189.2428,2026-04-18
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5027.5939,2026-04-18
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1531.5937,2026-04-18
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1399.6556,2026-04-18
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1393.766,2026-04-18
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1371.3227,2026-04-18
150562,INF680P01323,,Shriram Overnight Fund -  Direct Growth,12.4688,2026-04-18
153035,INF680P01430,,Shriram Liquid Fund - Direct Plan Growth Option,1093.8141,2026-04-18
