scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.3228,2026-07-05
118305,INF760K01FU6,,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3365.7859,2026-07-05
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth,3234.4655,2026-07-05
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,3236.1637,2026-07-05
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1829.0529,2026-07-05
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1552.8023,2026-07-05
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth,14.7902,2026-07-05
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option,1502.8173,2026-07-05
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,1433.9387,2026-07-05
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,1409.0164,2026-07-05
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1412.769,2026-07-05
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth,1388.6993,2026-07-05
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1242.3144,2026-07-05
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1214.4391,2026-07-05
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1359.1264,2026-07-05
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1286.0384,2026-07-05
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1290.5649,2026-07-05
