scheme_code,isin_growth,isin_div_reinv,scheme_name,nav,date
103734,INF082J01127,,Quantum Liquid Fund - Direct Plan Growth Option,37.1258,2026-06-06
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth,5065.9739,2026-06-06
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option,4575.5414,2026-06-06
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option,3721.3456,2026-06-06
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth,1817.6333,2026-06-06
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth,1543.1436,2026-06-06
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth,1409.2997,2026-06-06
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth,1407.0669,2026-06-06
148837,INF0GCD01271,INF0GCD01289,TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal,1236.6053,2026-06-06
148839,INF0GCD01305,INF0GCD01297,TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal,1208.9036,2026-06-06
148841,INF0GCD01255,,TRUSTMF Liquid Fund-Direct Plan-Growth,1350.7076,2026-06-06
148842,,INF0GCD01263,TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal,1280.0962,2026-06-06
149797,INF0GCD01453,,TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH,1285.3783,2026-06-06
154011,INF226401034,,Capitalmind Liquid Fund - Direct-Growth,1034.9965,2026-06-06
